code,name,formal_name,continent,region,longitude,latitude
PRI,Puerto Rico,Puerto Rico,Latin America and the Caribbean,Caribbean,-66.49425339593509,18.216224086610914
QAT,Qatar,the State of Qatar,Asia,Western Asia,51.19794918743203,25.318528486425386
KOR,Rep. of Korea,the Republic of Korea,Asia,Eastern Asia,127.76224551357649,36.402386712544114
MDA,Rep. of Moldova,the Republic of Moldova,Europe,Eastern Europe,28.391111865941348,47.0725674580696
REU,Reunion,Reunion,Africa,Eastern Africa,55.54393506194689,-21.119825460665105
ROU,Romania,Romania,Europe,Eastern Europe,25.094158201563292,45.82454894397586
RUS,Russian Federation,the Russian Federation,Europe,Eastern Europe,98.6704990698032,59.039434214106194
RWA,Rwanda,the Rwandese Republic,Africa,Eastern Africa,29.919439681764082,-2.014687460047154
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,Latin America and the Caribbean,Caribbean,-62.74560385895787,17.314736299587768
LCA,Saint Lucia,Saint Lucia,Latin America and the Caribbean,Caribbean,-60.9689510935251,13.895749185129906
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Latin America and the Caribbean,Caribbean,-61.193766354393034,13.254808122970651
MAF,Saint-Martin (French part),Saint-Martin (French part),Latin America and the Caribbean,Caribbean,-63.06678525361946,18.078012113224464
SPM,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,Northern America,Northen America,-56.32465353437558,46.95153913615198
WSM,Samoa,the Independent State of Western Samoa,Oceania,Polynesia,-172.44107655740137,-13.634252953274622
SMR,San Marino,the Republic of San Marino,Europe,Southern Europe,12.461278349581722,43.942820729097896
STP,Sao Tome and Principe,the Democratic Republic of Sao Tome and Principe,Africa,Middle Africa,6.606158796857607,0.22744704294793774
SAU,Saudi Arabia,the Kingdom of Saudi Arabia,Asia,Western Asia,44.600958178225596,24.136038144757897
SEN,Senegal,the Republic of Senegal,Africa,Western Africa,-14.610875368352305,14.228861491763402
SRB,Serbia and Kosovo: S/RES/1244 (1999),the Republic of Serbia,Europe,Southern Europe,20.85677444395745,44.02679870131969
SYC,Seychelles,the Republic of Seychelles,Africa,Eastern Africa,55.47250789595527,-4.660002318822744
SLE,Sierra Leone,the Republic of Sierra Leone,Africa,Western Africa,-11.78656695731115,8.561330384750587
SGP,Singapore,the Republic of Singapore,Asia,South-eastern Asia,103.81025757634053,1.3528251890006349
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),Latin America and the Caribbean,Caribbean,-63.06883135915303,18.03942608463078
SVK,Slovakia,the Slovak Republic,Europe,Eastern Europe,19.581015362490966,48.69808390520484
SVN,Slovenia,the Republic of Slovenia,Europe,Southern Europe,14.890636899973781,46.13759229564504
SLB,Solomon Islands,Solomon Islands,Oceania,Melanesia,160.16475795033884,-9.613104734596515
SOM,Somalia,the Somali Republic,Africa,Eastern Africa,45.40037867243972,6.524534573103924
ZAF,South Africa,the Republic of South Africa,Africa,Southern Africa,24.75252746489084,-28.55361930679731
SSD,South Sudan,the Republic of South Sudan,Africa,Eastern Africa,30.3851856901788,7.657782041763295
ESP,Spain,the Kingdom of Spain,Europe,Southern Europe,-16.53799441021647,28.297665106525546
LKA,Sri Lanka,the Democratic Socialist Republic of Sri Lanka,Asia,Southern Asia,80.66931169770622,7.696630939329944
PSE,State of Palestine,State of Palestine,Asia,Western Asia,35.24251184154588,31.930818736453883
XXA,Stateless,Stateless,Stateless,Stateless,,
SDN,Sudan,the Republic of the Sudan,Africa,Northern Africa,29.951458283594064,15.67060230984256
SUR,Suriname,the Republic of Suriname,Latin America and the Caribbean,South America,-55.855514311561286,4.098723595920171
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Europe,Northern Europe,,
SWE,Sweden,the Kingdom of Sweden,Europe,Northern Europe,17.062431988004956,62.73420986108448
CHE,Switzerland,the Swiss Confederation,Europe,Western Europe,8.286928794895285,46.73678128684938
SYR,Syrian Arab Rep.,the Syrian Arab Republic,Asia,Western Asia,38.5117323139514,35.09751106058316
TJK,Tajikistan,the Republic of Tajikistan,Asia,Central Asia,70.94215281065698,38.56933138382972
THA,Thailand,the Kingdom of Thailand,Asia,South-eastern Asia,101.08675116214552,13.66222784745538
TIB,Tibetan,Tibetan,Asia,Various,,
TLS,Timor-Leste,Timor-Leste,Asia,South-eastern Asia,125.95024049562659,-8.809894630601962
TGO,Togo,the Togolese Republic,Africa,Western Africa,0.8990857571109684,8.660743037717811
TON,Tonga,the Kingdom of Tonga,Oceania,Polynesia,-175.20415878511247,-21.15927212823853
TTO,Trinidad and Tobago,the Republic of Trinidad and Tobago,Latin America and the Caribbean,Caribbean,-61.37236579976247,10.415515638298093
TUN,Tunisia,the Republic of Tunisia,Africa,Northern Africa,9.65587551697984,34.08636179565723
TUR,Türkiye,the Republic of Türkiye,Asia,Western Asia,35.56886764076691,38.93207363123396
TKM,Turkmenistan,Turkmenistan,Asia,Central Asia,58.4577357627054,39.06069118001429
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Latin America and the Caribbean,Caribbean,-71.74058946811508,21.799865427483745
TUV,Tuvalu,Tuvalu,Oceania,Polynesia,179.217833977593,-8.514701506447222
UGA,Uganda,the Republic of Uganda,Africa,Eastern Africa,32.34371768463123,1.2821729218416205
UKR,Ukraine,Ukraine,Europe,Eastern Europe,31.27377208442636,48.657532515563794
ARE,United Arab Emirates,the United Arab Emirates,Asia,Western Asia,54.27920525789581,24.18250292309135
GBR,United Kingdom of Great Britain and Northern Ireland,the United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,-2.852943909329258,53.97844735080214
TZA,United Rep. of Tanzania,the United Republic of Tanzania,Africa,Eastern Africa,34.81832206060381,-6.355794440041147
USA,United States of America,the United States of America,Northern America,Northern America,-96.33161660829639,38.8208089190304
URY,Uruguay,the Eastern Republic of Uruguay,Latin America and the Caribbean,South America,-56.01919523458085,-32.78195043831093
UZB,Uzbekistan,the Republic of Uzbekistan,Asia,Central Asia,63.8548297593985,41.4879065244633
VUT,Vanuatu,the Republic of Vanuatu,Oceania,Melanesia,166.84912735669738,-15.189132121699332
VEN,Venezuela (Bolivarian Republic of),Bolivarian Republic of Venezuela,Latin America and the Caribbean,South America,-66.36492135985132,7.148324760507107
VNM,Viet Nam,the Socialist Republic of Viet Nam,Asia,South-eastern Asia,105.91338832758704,16.517347170839393
ESH,Western Sahara,Western Sahara,Africa,Northern Africa,,
YEM,Yemen,the Republic of Yemen,Asia,Western Asia,47.46815793206386,16.001392616307445
ZMB,Zambia,the Republic of Zambia,Africa,Eastern Africa,27.75521363430896,-13.162832953186246
ZWE,Zimbabwe,the Republic of Zimbabwe,Africa,Eastern Africa,29.717829640720844,-18.92700121981475
