year,name_country,code_country,total,continent,region
2019,Togo,TGO,2000,Africa,Western Africa
2019,Thailand,THA,41000,Asia,South-eastern Asia
2019,Tunisia,TUN,4,Africa,Northern Africa
2019,Türkiye,TUR,1099000,Asia,Western Asia
2019,Uganda,UGA,32000,Africa,Eastern Africa
2019,Ukraine,UKR,730000,Europe,Eastern Europe
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000,Europe,Southern Europe
2019,Yemen,YEM,3635000,Asia,Western Asia
2019,South Africa,ZAF,250,Africa,Southern Africa
2020,Afghanistan,AFG,3547000,Asia,Southern Asia
2020,Armenia,ARM,800,Asia,Western Asia
2020,Azerbaijan,AZE,735000,Asia,Western Asia
2020,Bangladesh,BGD,427000,Asia,Southern Asia
2020,Benin,BEN,3500,Africa,Western Africa
2020,Bosnia and Herzegovina,BIH,99000,Europe,Southern Europe
2020,Burkina Faso,BFA,1075000,Africa,Western Africa
2020,Burundi,BDI,22000,Africa,Eastern Africa
2020,Cameroon,CMR,1003000,Africa,Middle Africa
2020,Central African Rep.,CAF,682000,Africa,Middle Africa
2020,Chad,TCD,342000,Africa,Middle Africa
2020,Colombia,COL,4922000,Latin America and the Caribbean,South America
2020,Congo,COG,134000,Africa,Middle Africa
2020,Cote d'Ivoire,CIV,308000,Africa,Western Africa
2020,Cyprus,CYP,228000,Asia,Western Asia
2020,Dem. Rep. of the Congo,COD,5268000,Africa,Middle Africa
2020,Egypt,EGY,3200,Africa,Northern Africa
2020,Ethiopia,ETH,2060000,Africa,Eastern Africa
2020,Georgia,GEO,304000,Asia,Western Asia
2020,Guatemala,GTM,242000,Latin America and the Caribbean,Central America
2020,Haiti,HTI,7900,Latin America and the Caribbean,Caribbean
2020,Honduras,HND,247000,Latin America and the Caribbean,Central America
2020,India,IND,473000,Asia,Southern Asia
2020,Indonesia,IDN,40000,Asia,South-eastern Asia
2020,Iraq,IRQ,1224000,Asia,Western Asia
2020,Kenya,KEN,190000,Africa,Eastern Africa
2020,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000,Europe,Southern Europe
2020,Kyrgyzstan,KGZ,770,Asia,Central Asia
2020,Lebanon,LBN,7000,Asia,Western Asia
2020,Libya,LBY,278000,Africa,Northern Africa
2020,North Macedonia,MKD,140,Europe,Southern Europe
2020,Madagascar,MDG,1500,Africa,Eastern Africa
2020,Mali,MLI,326000,Africa,Western Africa
2020,Mexico,MEX,357000,Latin America and the Caribbean,Central America
2020,Mozambique,MOZ,676000,Africa,Eastern Africa
2020,Myanmar,MMR,505000,Asia,South-eastern Asia
2020,New Caledonia,NCL,140,Oceania,Melanesia
2020,Niger,NER,257000,Africa,Western Africa
2020,Nigeria,NGA,2730000,Africa,Western Africa
2020,Pakistan,PAK,104000,Asia,Southern Asia
2020,Palestinian,PSE,131000,Asia,Western Asia
2020,Papua New Guinea,PNG,14000,Oceania,Melanesia
2020,Peru,PER,60000,Latin America and the Caribbean,South America
2020,Philippines,PHL,153000,Asia,South-eastern Asia
2020,Russian Federation,RUS,1100,Europe,Eastern Europe
2020,Senegal,SEN,8400,Africa,Western Africa
2020,Sierra Leone,SLE,5500,Africa,Western Africa
2020,Somalia,SOM,2968000,Africa,Eastern Africa
2020,South Africa,ZAF,5000,Africa,Southern Africa
2020,South Sudan,SSD,1436000,Africa,Eastern Africa
2020,Sri Lanka,LKA,27000,Asia,Southern Asia
2020,Sudan,SDN,2276000,Africa,Northern Africa
2020,Syrian Arab Rep.,SYR,6568000,Asia,Western Asia
2020,Thailand,THA,41000,Asia,South-eastern Asia
2020,Türkiye,TUR,1099000,Asia,Western Asia
2020,Uganda,UGA,1000,Africa,Eastern Africa
2020,Ukraine,UKR,734000,Europe,Eastern Europe
2020,Yemen,YEM,3635000,Asia,Western Asia
2021,Afghanistan,AFG,4314000,Asia,Southern Asia
2021,Armenia,ARM,840,Asia,Western Asia
2021,Azerbaijan,AZE,655000,Asia,Western Asia
2021,Bangladesh,BGD,427000,Asia,Southern Asia
2021,Benin,BEN,2700,Africa,Western Africa
2021,Bosnia and Herzegovina,BIH,92000,Europe,Southern Europe
2021,Brazil,BRA,21000,Latin America and the Caribbean,South America
2021,Burkina Faso,BFA,1580000,Africa,Western Africa
2021,Burundi,BDI,19000,Africa,Eastern Africa
2021,Cameroon,CMR,909000,Africa,Middle Africa
2021,Central African Rep.,CAF,692000,Africa,Middle Africa
2021,Chad,TCD,392000,Africa,Middle Africa
2021,Colombia,COL,5235000,Latin America and the Caribbean,South America
2021,Congo,COG,57000,Africa,Middle Africa
2021,Cote d'Ivoire,CIV,302000,Africa,Western Africa
2021,Cyprus,CYP,242000,Asia,Western Asia
2021,Dem. Rep. of the Congo,COD,5339000,Africa,Middle Africa
2021,Ethiopia,ETH,3589000,Africa,Eastern Africa
2021,Georgia,GEO,305000,Asia,Western Asia
2021,Guatemala,GTM,243000,Latin America and the Caribbean,Central America
2021,Haiti,HTI,17000,Latin America and the Caribbean,Caribbean
2021,Honduras,HND,247000,Latin America and the Caribbean,Central America
2021,India,IND,506000,Asia,Southern Asia
2021,Indonesia,IDN,73000,Asia,South-eastern Asia
2021,Iraq,IRQ,1187000,Asia,Western Asia
2021,Kenya,KEN,190000,Africa,Eastern Africa
2021,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000,Europe,Southern Europe
2021,Lebanon,LBN,50,Asia,Western Asia
2021,Libya,LBY,160000,Africa,Northern Africa
2021,North Macedonia,MKD,110,Europe,Southern Europe
2021,Madagascar,MDG,2800,Africa,Eastern Africa
2021,Mali,MLI,326000,Africa,Western Africa
2021,Mexico,MEX,379000,Latin America and the Caribbean,Central America
2021,Mozambique,MOZ,735000,Africa,Eastern Africa
2021,Myanmar,MMR,649000,Asia,South-eastern Asia
2021,New Caledonia,NCL,150,Oceania,Melanesia
2021,Niger,NER,224000,Africa,Western Africa
2021,Nigeria,NGA,3228000,Africa,Western Africa
2021,Pakistan,PAK,104000,Asia,Southern Asia
2021,Palestinian,PSE,12000,Asia,Western Asia
2021,Papua New Guinea,PNG,24000,Oceania,Melanesia
2021,Peru,PER,60000,Latin America and the Caribbean,South America
2021,Philippines,PHL,108000,Asia,South-eastern Asia
2021,Russian Federation,RUS,470,Europe,Eastern Europe
2021,Senegal,SEN,8400,Africa,Western Africa
2021,Sierra Leone,SLE,5500,Africa,Western Africa
2021,Solomon Islands,SLB,1000,Oceania,Melanesia
2021,Somalia,SOM,2968000,Africa,Eastern Africa
2021,South Sudan,SSD,1369000,Africa,Eastern Africa
2021,Sri Lanka,LKA,12000,Asia,Southern Asia
2021,Sudan,SDN,3175000,Africa,Northern Africa
2021,Syrian Arab Rep.,SYR,6662000,Asia,Western Asia
2021,Thailand,THA,41000,Asia,South-eastern Asia
2021,Türkiye,TUR,1099000,Asia,Western Asia
2021,Uganda,UGA,1700,Africa,Eastern Africa
2021,Ukraine,UKR,854000,Europe,Eastern Europe
2021,Yemen,YEM,4289000,Asia,Western Asia
2022,Afghanistan,AFG,4314000,Asia,Southern Asia
2022,Armenia,ARM,840,Asia,Western Asia
2022,Azerbaijan,AZE,655000,Asia,Western Asia
2022,Bangladesh,BGD,427000,Asia,Southern Asia
2022,Benin,BEN,2700,Africa,Western Africa
2022,Bosnia and Herzegovina,BIH,92000,Europe,Southern Europe
2022,Brazil,BRA,21000,Latin America and the Caribbean,South America
2022,Burkina Faso,BFA,1580000,Africa,Western Africa
2022,Burundi,BDI,19000,Africa,Eastern Africa
2022,Cameroon,CMR,909000,Africa,Middle Africa
2022,Central African Rep.,CAF,692000,Africa,Middle Africa
2022,Chad,TCD,392000,Africa,Middle Africa
2022,Colombia,COL,5235000,Latin America and the Caribbean,South America
2022,Congo,COG,57000,Africa,Middle Africa
2022,Cote d'Ivoire,CIV,302000,Africa,Western Africa
2022,Cyprus,CYP,242000,Asia,Western Asia
2022,Dem. Rep. of the Congo,COD,5339000,Africa,Middle Africa
2022,Ethiopia,ETH,3589000,Africa,Eastern Africa
2022,Georgia,GEO,305000,Asia,Western Asia
2022,Guatemala,GTM,243000,Latin America and the Caribbean,Central America
2022,Haiti,HTI,17000,Latin America and the Caribbean,Caribbean
2022,Honduras,HND,247000,Latin America and the Caribbean,Central America
2022,India,IND,506000,Asia,Southern Asia
2022,Indonesia,IDN,73000,Asia,South-eastern Asia
2022,Iraq,IRQ,1187000,Asia,Western Asia
2022,Kenya,KEN,190000,Africa,Eastern Africa
2022,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000,Europe,Southern Europe
2022,Lebanon,LBN,50,Asia,Western Asia
2022,Libya,LBY,160000,Africa,Northern Africa
2022,North Macedonia,MKD,110,Europe,Southern Europe
2022,Madagascar,MDG,2800,Africa,Eastern Africa
2022,Mali,MLI,326000,Africa,Western Africa
2022,Mexico,MEX,379000,Latin America and the Caribbean,Central America
2022,Mozambique,MOZ,735000,Africa,Eastern Africa
2022,Myanmar,MMR,649000,Asia,South-eastern Asia
2022,New Caledonia,NCL,150,Oceania,Melanesia
2022,Niger,NER,224000,Africa,Western Africa
2022,Nigeria,NGA,3228000,Africa,Western Africa
2022,Pakistan,PAK,104000,Asia,Southern Asia
2022,Palestinian,PSE,12000,Asia,Western Asia
2022,Papua New Guinea,PNG,24000,Oceania,Melanesia
2022,Peru,PER,60000,Latin America and the Caribbean,South America
2022,Philippines,PHL,108000,Asia,South-eastern Asia
2022,Russian Federation,RUS,470,Europe,Eastern Europe
2022,Senegal,SEN,8400,Africa,Western Africa
2022,Sierra Leone,SLE,5500,Africa,Western Africa
2022,Solomon Islands,SLB,1000,Oceania,Melanesia
2022,Somalia,SOM,2968000,Africa,Eastern Africa
2022,South Sudan,SSD,1369000,Africa,Eastern Africa
2022,Sri Lanka,LKA,12000,Asia,Southern Asia
2022,Sudan,SDN,3175000,Africa,Northern Africa
2022,Syrian Arab Rep.,SYR,6662000,Asia,Western Asia
2022,Thailand,THA,41000,Asia,South-eastern Asia
2022,Türkiye,TUR,1099000,Asia,Western Asia
2022,Uganda,UGA,1700,Africa,Eastern Africa
2022,Ukraine,UKR,854000,Europe,Eastern Europe
2022,Yemen,YEM,4289000,Asia,Western Asia
